,Unnamed: 0,PID,Title,Paper-source,Included,Exclusion Reason,Exclusion Reason Subcategory,Keyword,prop_match,where_match
174,174.0,,"Horner,Aidan J;Henson,Richard N;(2012)Incongruent abstract stimulus-response bindings result in response interference: FMRI and EEG evidence from visual object classification priming.",Search 2,Exclude,Univariate,,,,
175,175.0,,"Hosseini,S M Hadi;Kesler,Shelli R;(2014)Multivariate pattern analysis of FMRI in breast cancer survivors and healthy women.",Search 2,Exclude,clinical,,,,
176,176.0,,"Hund-Georgiadis,M;Lex,U;von Cramon,D Y;(2001)Language dominance assessment by means of fMRI: contributions from task design, performance, and stimulus modality.",Search 2,Exclude,Univariate,,,,
177,177.0,,"Koutstaal,W;Wagner,A D;Rotte,M;Maril,A;Buckner,R L;Schacter,D L;(2001)Perceptual specificity in visual object priming: functional magnetic resonance imaging evidence for a laterality difference in fusiform cortex.",Search 2,Exclude,Univariate,,,,
178,178.0,,"Lindenberg,Robert;Uhlig,Marie;Scherfeld,Dag;Schlaug,Gottfried;Seitz,Ruediger J;(2012)Communication with emblematic gestures: shared and distinct neural correlates of expression and reception.",Search 2,Exclude,Univariate,,,,
179,179.0,,"Little,Deborah M;Shin,Silvia S;Sisco,Shannon M;Thulborn,Keith R;(2006)Event-related fMRI of category learning: differences in classification and feedback networks.",Search 2,Exclude,Univariate,,,,
180,180.0,,"Little,Deborah M;Thulborn,Keith R;(2006)Prototype-distortion category learning: a two-phase learning process across a distributed network.",Search 2,Exclude,Univariate,,,,
181,181.0,,"Liu,Jiangang;Li,Jun;Feng,Lu;Li,Ling;Tian,Jie;Lee,Kang;(2014)Seeing Jesus in toast: neural and behavioral correlates of face pareidolia.",Search 2,Exclude,Univariate,,,,
182,182.0,,"Merrill,Julia;Sammler,Daniela;Bangert,Marc;Goldhahn,Dirk;Lohmann,Gabriele;Turner,Robert;Friederici,Angela D;(2012)Perception of words and pitch patterns in song and speech.",Search 2,Exclude,Univariate,,,,
183,183.0,,"Milton,Fraser;Wills,Andy J;Hodgson,Timothy L;(2009)The neural basis of overall similarity and single-dimension sorting.",Search 2,Exclude,Univariate,,,,
